21:08:20.756 INFO [qtp1805067756-83]: Updated Metadata information for placement ( 1004 on 6 )
21:24:14.794 INFO [qtp1805067756-198]: Updated Metadata information for placement ( 1004 on 7 )
21:25:15.059 WARN [HttpDispatcher-124]: There is a running transaction associated with this connection org.polypheny.db.avatica.PolyphenyDbConnectionHandle@d1193eb9
21:25:15.059 WARN [HttpDispatcher-124]: Rollback transaction org.polypheny.db.transaction.TransactionImpl@8c686e11
21:25:52.295 INFO [pool-7-thread-1]: Queue --> 0 
21:25:52.503 INFO [pool-7-thread-1]: Queue --> 1 
21:25:52.596 INFO [pool-7-thread-1]: Queue --> 0 
21:25:52.721 INFO [pool-7-thread-1]: Queue --> 1 
21:25:52.817 INFO [pool-7-thread-1]: Queue --> 0 
21:25:52.942 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.008 INFO [pool-7-thread-1]: Queue --> 0 
21:25:53.127 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.218 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.299 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.362 INFO [pool-7-thread-1]: Queue --> 0 
21:25:53.537 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.629 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.707 INFO [pool-7-thread-1]: Queue --> 1 
21:25:53.768 INFO [pool-7-thread-1]: Queue --> 0 
21:25:53.918 INFO [pool-7-thread-1]: Queue --> 0 
21:25:54.043 INFO [pool-7-thread-1]: Queue --> 0 
21:25:54.139 INFO [pool-7-thread-1]: Queue --> 0 
21:25:54.311 INFO [pool-7-thread-1]: Queue --> 1 
21:25:54.400 INFO [pool-7-thread-1]: Queue --> 1 
21:25:54.477 INFO [pool-7-thread-1]: Queue --> 1 
21:25:54.549 INFO [pool-7-thread-1]: Queue --> 0 
21:25:54.711 INFO [pool-7-thread-1]: Queue --> 0 
21:25:54.886 INFO [pool-7-thread-1]: Queue --> 1 
21:25:54.979 INFO [pool-7-thread-1]: Queue --> 1 
21:25:55.049 INFO [pool-7-thread-1]: Queue --> 0 
21:25:55.184 INFO [pool-7-thread-1]: Queue --> 0 
21:25:55.279 INFO [pool-7-thread-1]: Queue --> 0 
21:25:55.404 INFO [pool-7-thread-1]: Queue --> 0 
21:25:55.605 INFO [pool-7-thread-1]: Queue --> 1 
21:25:55.680 INFO [pool-7-thread-1]: Queue --> 0 
21:25:55.743 INFO [pool-7-thread-1]: Queue --> 0 
21:25:55.869 INFO [pool-7-thread-1]: Queue --> 0 
21:25:56.080 INFO [pool-7-thread-1]: Queue --> 1 
21:25:56.162 INFO [pool-7-thread-1]: Queue --> 0 
21:25:56.286 INFO [pool-7-thread-1]: Queue --> 1 
21:25:56.384 INFO [pool-7-thread-1]: Queue --> 0 
21:25:56.510 INFO [pool-7-thread-1]: Queue --> 1 
21:25:56.607 INFO [pool-7-thread-1]: Queue --> 0 
21:25:56.729 INFO [pool-7-thread-1]: Queue --> 1 
21:25:56.823 INFO [pool-7-thread-1]: Queue --> 0 
21:25:56.886 INFO [pool-7-thread-1]: Queue --> 0 
21:25:57.085 INFO [pool-7-thread-1]: Queue --> 1 
21:25:57.175 INFO [pool-7-thread-1]: Queue --> 1 
21:25:57.256 INFO [pool-7-thread-1]: Queue --> 1 
21:25:57.318 INFO [pool-7-thread-1]: Queue --> 0 
21:25:57.493 INFO [pool-7-thread-1]: Queue --> 1 
21:25:57.582 INFO [pool-7-thread-1]: Queue --> 1 
21:25:57.660 INFO [pool-7-thread-1]: Queue --> 1 
21:25:57.723 INFO [pool-7-thread-1]: Queue --> 0 
21:25:57.858 INFO [pool-7-thread-1]: Queue --> 0 
21:25:58.020 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.118 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.209 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.288 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.351 INFO [pool-7-thread-1]: Queue --> 0 
21:25:58.524 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.622 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.722 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.818 INFO [pool-7-thread-1]: Queue --> 1 
21:25:58.915 INFO [pool-7-thread-1]: Queue --> 1 
21:25:59.005 INFO [pool-7-thread-1]: Queue --> 1 
